created_at,text,cleaned_text
Sat May 24 02:37:41 +0000 2025,@tanyarlfes aman itumah nder yang ga aman kalo lampu indikatornya ga mati mati even udah jalan,user aman itumah nder aman kalo lampu indikator mati mati even jalan
Fri May 23 19:21:19 +0000 2025,tsel kartu gak guna anjing. mati lampu gak jalan internet nya emang monyong,tsel kartu anjing mati lampu jalan internet monyong
Fri May 23 16:18:05 +0000 2025,@pln_123 malam min di jalan jermal mati lampu. ada masalah apa ya?,user malam min jalan jermal mati lampu
Fri May 23 15:19:48 +0000 2025,@txtdaritng @PemKabTangerang wong bupatinya kerjaannya dateng ke acara seremonial2 aja tuh di twitternya. gimana jajarannya lampu jalan mati jalan jelek ampun ampunan,user user wong bupati kerja dateng acara seremonial tuh twitternya gimana jajar lampu jalan mati jalan jelek ampun ampun
Fri May 23 15:10:19 +0000 2025,@txtdaritng @PemKabTangerang boro2 lampu jalan mati aja dibiarin jalan rusak ga dibenerin. ngalir kmna kali duitnya,user user boro lampu jalan mati dibiarin jalan rusak dibenerin ngalir kmna duit
Fri May 23 10:06:05 +0000 2025,Minnn @pln_123 mati lampu d jalan saudara Medan ada acara gini ga bisa d hidupkan??? Hadeuh!,min user mati lampu jalan saudara medan acara gin hidup hadeuh
Fri May 23 09:35:44 +0000 2025,@pln_123 min info mati lampu kok lama bgt di jalan suryalaya sari Cijagra Kecamatan Lengkong Kota Bandung. Ada apa ini? Ga ada edaran pula,user min info mati lampu jalan suryalaya sari cijagra camat lengkong kota bandung edar
Fri May 23 08:01:54 +0000 2025,@ridwanhr benerin jalan2 yang rusak buatin/benerin gorong2 bikin lapangan olahraga umum bayarin listrik lampu2 jalan yg mati/ pasang lampu jalan renov puskes yg kurang memadai beli tanah buat space orang dagang,user benerin jalan rusak buatin benerin gorong lapang olahraga bayarin listrik lampu jalan mati pasang lampu jalan renov puskes pada beli tanah space orang dagang
Fri May 23 02:04:27 +0000 2025,YA tinggal sapa aja senormalnya tanya tadi di jalan macet gak tanya tadi daerahnya hujan gak semalem sempet mati lampu ya trus besok ada rapat udh nyiapin belom BAAAHH BANYAK BAHAN NGOBROL LU CUMA KEBANYAKAN MIKIR DAN TAKUT SALAH AJA.,tinggal sapa normal jalan macet daerah hujan semalem sempet mati lampu besok rapat udh nyiapin bom bahh bahan ngobrol banyak mikir takut salah
Thu May 22 22:20:04 +0000 2025,Mati lampu dan banjir di malam JUMAT yang mana hari tersibuk di kantor -_- harus kuhadapi seharian tanpa tidur : ))) Satu2 nya jalan selain pasrah pada Allah adalah...kopi :),mati lampu banjir malam sibuk kantor hadap hari tidur jalan pasrah allah kopi
Thu May 22 21:05:23 +0000 2025,@BosPurwa @farhanpenyiar Kang @farhanpenyiar Bandung gelap gulita...lampu lampu jalan pada mati...,user user kang user bandung gelap gulita lampu lampu jalan mati
Thu May 22 14:12:59 +0000 2025,Sekedar informasi ringan di malam jum'at kliwon ini Di jalan salak (sleman-turi) mulai dari pertigaan Ds Kadisobo ke utara lampu PJU mati /tidak menyala sejak sore tadi | @ArisIchsan,informasi ringan malam jum kliwon jalan salak sleman turi tiga kadisobo utara lampu pju mati nyala sore user
Thu May 22 14:11:34 +0000 2025,Sekedar informasi ringan di malam jum'at kliwon ini Di jalan salak (sleman-turi) mulai dari pertigaan Ds Kadisobo ke utara lampu PJU mati /tidak menyala sejak sore tadi @merapi_uncover @IniSleman @kabarsleman,informasi ringan malam jum kliwon jalan salak sleman turi tiga kadisobo utara lampu pju mati nyala sore user user user
